Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,30,0,1300.0,1138.0130388672114,411.92233400943223,1737.4874580127653,532.3333333333334,0.2500303265479706,0.0,1300,1300,1400,1400,1700,1700,1700,1700,1700,1700,1700
GET,/inbox/unread,133,0,450.0,355.85320521094854,112.8924590011593,976.529291991028,11.0,1.1084677810293362,0.0,450,480,500,500,560,570,660,820,980,980,980
GET,/threads/preview,249,0,480.0,417.9892303135964,137.84208400466014,1474.6215000050142,1.8674698795180722,2.0752517103481556,0.0,480,510,530,560,660,860,990,1200,1500,1500,1500
,Aggregated,412,0,470.0,450.35967428921845,112.8924590011593,1737.4874580127653,43.44174757281554,3.4337498179254626,0.0,470,500,530,560,750,1200,1400,1500,1700,1700,1700
