Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,100,0,560.0,649.7845062500096,426.1155829999552,1973.0127499999526,532.96,0.8441746549021508,0.0,570,620,670,690,850,1300,1800,2000,2000,2000,2000
GET,/inbox/unread,363,363,96,155.63580589256375,75.90241700017941,1806.886208999913,43.0,3.0643539972948077,3.0643539972948077,96,120,130,140,210,410,1000,1100,1800,1800,1800
GET,/threads/preview,752,752,93,137.48137876462917,75.13516700009859,1425.0030000000606,43.0,6.348193404864174,6.348193404864174,93,110,120,140,190,290,670,980,1400,1400,1400
,Aggregated,1215,1115,96,185.07016048971474,75.13516700009859,1973.0127499999526,83.32592592592593,10.256722057061133,9.412547402158982,96,120,140,170,500,640,950,1200,1800,2000,2000
