Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,61,0,980.0,871.9038045901698,431.7833340001016,1705.159999999978,532.4754098360655,1.977657660821951,0.0,980,1100,1100,1200,1300,1400,1600,1700,1700,1700,1700
GET,/inbox/unread,37,37,110.0,227.53435127022485,80.53354200001195,659.4062920003125,43.0,1.1995628434493801,1.1995628434493801,110,300,420,420,460,580,660,660,660,660,660
GET,/threads/preview,75,75,120.0,241.24280713331245,78.3417500001633,686.4854999998897,43.0,2.431546304289284,2.431546304289284,120,400,440,450,490,570,590,690,690,690,690
,Aggregated,173,112,430.0,460.68273764160176,78.3417500001633,1705.159999999978,215.58959537572255,5.608766808560615,3.631109147738664,430,490,590,710,1100,1200,1400,1600,1700,1700,1700
