Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,100,0,590.0,814.7908491699897,426.1415840001064,3411.7972919998465,532.96,0.8423483208424917,0.0,590,660,790,860,1700,2000,3100,3400,3400,3400,3400
GET,/inbox/unread,332,0,190.0,308.07356374397637,120.35641700003907,2944.4523749998552,11.0,2.7965964251970723,0.0,190,250,300,370,520,780,1600,2600,2900,2900,2900
GET,/threads/preview,704,0,240.0,338.53835624857925,106.84537499992075,2846.138625000094,2.2017045454545454,5.930132178731141,0.0,240,290,340,380,530,1000,1600,2200,2800,2800,2800
,Aggregated,1136,0,240.0,371.5585483089781,106.84537499992075,3411.7972919998465,51.49471830985915,9.569076924770705,0.0,240,310,400,480,620,1100,1900,2400,3100,3400,3400
