Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,62,0,480.0,552.4689112903176,425.8042089986702,1610.9737919996405,532.483870967742,1.997056653770411,0.0,480,500,530,560,690,1000,1300,1600,1600,1600,1600
GET,/inbox/unread,38,38,89,112.43074449995268,80.1614169995446,470.29624999959196,43.0,1.224002465214123,1.224002465214123,91,93,97,99,120,460,470,470,470,470,470
GET,/threads/preview,89,89,89,102.02946255079685,78.24249999976018,641.3043330012442,43.0,2.8667426158962352,2.8667426158962352,89,92,94,98,110,120,450,640,640,640,640
,Aggregated,189,127,94,251.8839309948085,78.24249999976018,1610.9737919996405,203.57142857142858,6.087801734880769,4.0907450811103585,94,430,460,470,520,660,1000,1300,1600,1600,1600
