Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,500,0,1100.0,1086.7942333079743,421.3066249994881,5126.546499999677,537.752,0.8347895361072265,0.0,1100,1200,1200,1200,1400,1600,2400,4000,5100,5100,5100
GET,/inbox/unread,7958,137,570.0,750.3331230043964,115.91887500071607,11613.940833000015,11.395953757225433,13.286510256682616,0.22873233289338005,570,700,830,930,1200,1700,2700,4000,9600,12000,12000
GET,/threads/preview,15880,268,610.0,786.2014261131675,103.5074169994914,12651.4659580007,1.06183879093199,26.51291566676551,0.4474471913534734,610,770,910,1000,1300,1700,2700,4000,8500,13000,13000
,Aggregated,24338,405,600.0,780.6486464048058,103.5074169994914,12651.4659580007,15.466636535458953,40.63421545955536,0.6761795242468535,600,760,900,1000,1300,1700,2700,4000,9300,12000,13000
