Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,1000,22,13000.0,12654.255111959972,422.08916699746624,66846.24691700446,628.167,0.8722318361852309,0.01918910039607508,13000,16000,18000,19000,24000,30000,37000,46000,67000,67000,67000
GET,/inbox/unread,6940,184,16000.0,17079.384691674764,112.58024998824112,101329.87183399382,38.71354466858789,6.053288943125503,0.1604906578580825,16000,19000,20000,22000,31000,40000,51000,61000,77000,101000,101000
GET,/threads/preview,13873,346,15000.0,16561.94926734048,143.32812499196734,103050.98645799444,444.28386073668275,12.100472263397709,0.30179221532008993,15000,18000,19000,21000,31000,39000,49000,60000,77000,101000,103000
,Aggregated,21813,552,15000.0,16547.43075496252,112.58024998824112,103050.98645799444,323.678036033558,19.025993042708443,0.4814719735742475,15000,18000,19000,21000,31000,39000,49000,60000,77000,101000,103000
