Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,1321,464,31000.0,49850.92763815841,715.0622079934692,125998.83670799318,2917.8334595003785,1.5886841278195536,0.5580237965997523,31000,45000,74000,87000,125000,126000,126000,126000,126000,126000,126000
GET,/inbox/unread,1999,1052,30000.0,52147.30641873574,114.12125000788365,245423.90166599944,3679.335167583792,2.404072347851088,1.2651746422908179,30000,60000,125000,125000,125000,125000,125000,155000,215000,245000,245000
GET,/threads/preview,3934,2023,30000.0,51160.08560050383,134.14841699704994,215464.10670799378,3597.6779359430607,4.731175896171177,2.4329356476752135,30000,60000,125000,125000,125000,125000,125000,155000,215000,215000,215000
,Aggregated,7254,3539,30000.0,51193.730037695444,114.12125000788365,245423.90166599944,3496.3763440860216,8.723932371841817,4.256134086565783,30000,48000,125000,125000,125000,125000,126000,155000,185000,245000,245000
