Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,26,0,550.0,547.671934384635,442.4682920000578,686.7299590001039,531.7692307692307,2.073526241998667,0.0,550,570,610,610,630,680,690,690,690,690,690
GET,/inbox/unread,5,5,93,101.96473320002042,81.19179100003748,143.21554100001777,43.0,0.3987550465382052,0.3987550465382052,93,110,110,140,140,140,140,140,140,140,140
GET,/threads/preview,13,13,89,109.16563138460752,76.0262920000514,208.51591699988603,43.0,1.0367631209993335,1.0367631209993335,89,120,120,140,150,210,210,210,210,210,210
,Aggregated,44,18,460.0,367.464708363648,76.0262920000514,686.7299590001039,331.8181818181818,3.509044409536206,1.4355181675375388,470,530,550,570,610,630,690,690,690,690,690
