Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,500,1,1200.0,1461.530649825974,441.9277500001044,34933.76616700152,549.578,0.8357341384039506,0.0016714682768079012,1200,1300,1400,1600,2100,3600,4700,5700,35000,35000,35000
GET,/inbox/unread,6757,13,1400.0,1610.0224617787376,120.47883299965179,40393.341333001445,23.369394701790736,11.294111146390987,0.021729087598502714,1400,1800,2100,2200,2600,3300,4700,5600,34000,40000,40000
GET,/threads/preview,13542,32,1400.0,1597.4753700945178,104.97587499958172,40119.18666699967,15.796558853935903,22.635023404532596,0.05348698485785284,1400,1800,2000,2200,2600,3200,4600,5600,34000,40000,40000
,Aggregated,20799,46,1400.0,1598.2835021381823,104.97587499958172,40393.341333001445,31.08865810856291,34.764868689327535,0.07688754073316345,1400,1800,2000,2200,2600,3300,4700,5600,34000,40000,40000
