Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,30,0,1300.0,1161.7126430675853,454.82337499561254,1536.0122499987483,532.3333333333334,4.683417311368401,0.0,1300,1300,1400,1400,1400,1400,1500,1500,1500,1500,1500
,Aggregated,30,0,1300.0,1161.7126430675853,454.82337499561254,1536.0122499987483,532.3333333333334,4.683417311368401,0.0,1300,1300,1400,1400,1400,1400,1500,1500,1500,1500,1500
